Date, Open, High, Low, Close, Volume
3-Dec-15,103.95,106.85,103.35,104.38,23236485
2-Dec-15,107.00,107.92,105.79,106.07,24429063
1-Dec-15,104.83,107.15,104.50,107.12,22781868
30-Nov-15,105.84,106.10,103.75,104.24,20383179
27-Nov-15,105.78,105.96,104.86,105.45,5913066
25-Nov-15,106.33,106.60,105.10,105.41,15150785
24-Nov-15,106.00,106.49,104.39,105.74,23577293
23-Nov-15,107.19,107.47,106.08,106.95,19897220
20-Nov-15,106.84,107.87,106.62,107.32,22129648
19-Nov-15,107.36,107.73,105.95,106.26,25520599
18-Nov-15,105.80,107.88,105.39,107.77,23836526
17-Nov-15,104.62,106.20,104.14,105.13,26807230
16-Nov-15,102.06,104.17,100.47,104.04,49309167
13-Nov-15,107.71,108.25,103.83,103.95,30278403
12-Nov-15,108.48,109.39,108.00,108.02,20924674
11-Nov-15,108.27,109.87,107.11,109.01,25057099
10-Nov-15,106.17,108.15,105.24,107.91,25031681
9-Nov-15,107.00,108.25,105.86,106.49,26383540
6-Nov-15,108.04,108.74,105.91,107.10,35084342
5-Nov-15,108.80,110.65,107.95,108.76,63232861
4-Nov-15,103.19,104.14,102.48,103.94,43469308
3-Nov-15,103.22,103.65,102.40,102.58,21242341
2-Nov-15,101.72,103.47,101.18,103.31,24003944
30-Oct-15,104.40,104.72,101.65,101.97,33487104
29-Oct-15,103.96,105.12,103.52,104.88,20316691
28-Oct-15,103.90,104.48,102.92,104.20,24081515
27-Oct-15,102.94,104.10,102.40,103.70,23795472
26-Oct-15,103.58,103.81,101.55,103.77,25961212
23-Oct-15,101.91,102.85,100.16,102.19,42809661
22-Oct-15,97.79,99.73,97.55,99.67,26392075
21-Oct-15,97.37,98.18,96.47,97.11,22003730
20-Oct-15,98.73,99.59,96.56,97.00,30881777
19-Oct-15,97.18,98.57,96.92,98.47,23729924
16-Oct-15,96.18,97.59,95.35,97.54,25412856
15-Oct-15,94.99,96.30,94.90,95.96,27557516
14-Oct-15,94.08,95.20,93.61,94.07,19253351
13-Oct-15,93.66,95.37,93.55,94.12,19480347
12-Oct-15,93.32,94.60,92.67,94.26,18449562
9-Oct-15,92.90,93.74,92.24,93.24,20012911
8-Oct-15,92.75,93.22,90.47,92.47,27290523
7-Oct-15,93.11,93.66,91.37,92.40,24129277
6-Oct-15,94.08,94.17,92.34,92.80,22172764
5-Oct-15,92.94,94.27,92.66,94.01,27292517
2-Oct-15,88.90,92.20,88.37,92.07,37881652
1-Oct-15,90.05,90.95,88.36,90.95,29283652
30-Sep-15,88.44,90.02,88.01,89.90,36169146
29-Sep-15,89.10,90.06,85.72,86.67,42281838
28-Sep-15,92.08,92.29,88.18,89.21,41199870
25-Sep-15,95.79,95.85,92.06,92.77,28961622
24-Sep-15,93.06,94.76,92.24,94.41,29105964
23-Sep-15,93.40,94.32,92.80,93.97,21701427
22-Sep-15,93.77,94.68,91.92,92.96,36888893
21-Sep-15,94.62,96.49,94.52,95.55,28657457
18-Sep-15,93.20,95.19,93.05,94.40,62299984
17-Sep-15,93.37,95.51,92.90,94.34,27679870
16-Sep-15,92.90,93.60,92.63,93.45,16256252
15-Sep-15,92.37,93.25,91.79,92.90,18859351
14-Sep-15,92.31,92.62,91.60,92.31,20127871
11-Sep-15,91.68,92.08,91.13,92.05,21185049
10-Sep-15,90.07,92.06,89.63,91.98,26333820
9-Sep-15,90.78,91.98,90.17,90.44,32551123
8-Sep-15,89.69,90.24,88.83,89.53,27012543
4-Sep-15,87.20,88.39,86.70,88.26,27328667
3-Sep-15,89.76,89.82,87.73,88.15,26882208
2-Sep-15,88.81,89.89,87.63,89.89,26837970
1-Sep-15,86.85,89.39,86.50,87.23,35798110
31-Aug-15,90.60,91.05,88.89,89.43,32006693
28-Aug-15,89.88,91.48,89.79,91.01,33005640
27-Aug-15,89.10,90.06,87.19,89.73,41778567
26-Aug-15,85.95,87.46,83.26,87.19,44492025
25-Aug-15,86.95,87.67,83.00,83.00,51447569
24-Aug-15,77.03,87.14,72.00,82.09,81647863
21-Aug-15,87.52,89.18,85.61,86.06,62258046
20-Aug-15,93.54,94.77,90.46,90.56,44219624
19-Aug-15,94.63,96.10,94.16,95.31,23251271
18-Aug-15,94.08,95.85,94.04,95.17,22278848
17-Aug-15,94.42,94.46,93.39,93.93,18313531
14-Aug-15,93.54,94.72,93.21,94.42,15929656
13-Aug-15,94.05,94.73,93.35,93.43,17451768
12-Aug-15,92.70,94.44,91.19,94.19,27120375
11-Aug-15,93.73,94.76,92.90,93.62,22491031
10-Aug-15,95.68,95.90,93.63,94.15,21624153
7-Aug-15,95.38,95.40,93.61,94.30,23199145
6-Aug-15,97.18,98.74,94.42,95.12,42271318
5-Aug-15,95.25,97.09,95.18,96.44,29813174
4-Aug-15,93.79,94.73,93.33,94.06,20136036
3-Aug-15,93.53,95.08,92.80,94.14,29343117
31-Jul-15,94.95,96.33,93.95,94.01,46509045
30-Jul-15,94.91,95.81,91.80,95.21,86211323
29-Jul-15,96.32,97.28,94.74,96.99,64648320
28-Jul-15,94.84,95.56,93.31,95.29,35235993
27-Jul-15,96.58,96.61,93.83,94.17,38585381
24-Jul-15,97.35,97.76,95.88,96.95,33444930
23-Jul-15,96.96,97.45,94.81,95.44,29418833
22-Jul-15,96.74,97.58,95.92,97.04,28299518
21-Jul-15,98.95,99.24,97.14,98.39,39453332
20-Jul-15,95.85,98.60,95.36,97.91,54860541
17-Jul-15,92.55,95.39,92.54,94.97,54001635
16-Jul-15,90.28,90.86,89.77,90.85,21804086
15-Jul-15,90.00,90.99,89.42,89.76,30886601
14-Jul-15,90.46,90.80,89.65,89.68,26627849
13-Jul-15,88.66,90.22,88.42,90.10,29976670
10-Jul-15,87.35,88.22,86.77,87.95,23245873
9-Jul-15,86.73,87.60,85.65,85.88,23307402
8-Jul-15,86.29,86.75,85.44,85.65,24399340
7-Jul-15,87.80,87.85,85.23,87.22,33059921
6-Jul-15,86.49,88.18,86.39,87.55,24635915
2-Jul-15,87.40,87.44,86.34,87.28,16908781
1-Jul-15,86.77,87.95,86.49,86.91,25260045
30-Jun-15,86.60,86.70,85.57,85.76,23233183
29-Jun-15,86.61,87.50,85.73,85.80,35957872
26-Jun-15,88.12,88.34,86.83,88.01,38214647
25-Jun-15,89.26,89.40,87.84,87.98,27301967
24-Jun-15,87.66,89.25,87.45,88.86,41370227
23-Jun-15,84.96,87.97,84.76,87.88,50667853
22-Jun-15,83.41,84.97,83.31,84.74,29383079
19-Jun-15,82.83,82.98,82.12,82.51,23353194
18-Jun-15,81.64,83.19,81.57,82.90,26782573
17-Jun-15,81.76,82.22,81.34,81.79,18350287
16-Jun-15,80.82,81.51,80.45,81.06,13693666
15-Jun-15,80.55,80.93,80.07,80.71,18805087
12-Jun-15,81.37,82.09,81.20,81.53,11417882
11-Jun-15,82.31,82.90,81.36,81.83,18656811
10-Jun-15,80.83,82.60,80.81,82.16,21531208
9-Jun-15,80.60,81.19,79.32,80.67,16497538
8-Jun-15,81.82,82.00,80.13,80.67,16915471
5-Jun-15,81.87,82.46,81.51,82.14,16143093
4-Jun-15,82.14,82.95,81.51,82.05,20863877
3-Jun-15,81.35,82.53,81.25,82.44,31774993
2-Jun-15,79.76,81.35,79.56,80.44,18923300
1-Jun-15,79.30,80.38,78.66,80.29,18119012
29-May-15,79.95,80.07,78.88,79.19,16134580
28-May-15,80.25,81.07,80.00,80.14,11982008
27-May-15,79.60,80.66,79.43,80.55,14160865
26-May-15,80.43,80.60,79.08,79.34,16321339
22-May-15,80.35,81.31,80.25,80.54,19567937
21-May-15,80.19,80.92,80.08,80.48,13402749
20-May-15,80.47,81.10,79.46,80.55,23056899
19-May-15,81.25,81.69,80.55,80.63,17955389
18-May-15,80.33,81.38,80.23,80.88,21613674
15-May-15,81.41,81.52,80.18,80.42,27069884
14-May-15,78.94,81.84,78.67,81.37,49437996
13-May-15,77.72,78.53,77.65,78.44,21512309
12-May-15,77.87,77.89,76.79,77.46,21285310
11-May-15,78.48,79.03,77.93,78.01,18874054
8-May-15,79.10,79.23,78.03,78.51,19943595
7-May-15,78.00,78.94,77.56,78.42,19749428
6-May-15,77.97,78.81,77.05,78.10,28663026
5-May-15,78.55,78.80,77.22,77.56,22311318
4-May-15,79.33,79.69,78.63,78.81,14691991
1-May-15,79.24,79.76,78.11,78.99,24136358
30-Apr-15,80.01,80.96,78.32,78.77,28999005
29-Apr-15,80.01,81.39,79.52,80.46,26430258
28-Apr-15,81.83,81.90,80.23,80.68,23775344
27-Apr-15,81.87,82.93,81.63,81.91,25446032
24-Apr-15,82.77,82.94,81.48,81.53,29660356
23-Apr-15,84.10,85.59,82.41,82.41,73728080
22-Apr-15,84.32,84.74,83.65,84.63,45547963
21-Apr-15,84.00,84.49,83.54,83.62,27171852
20-Apr-15,81.54,83.15,81.24,83.09,28796761
17-Apr-15,81.48,82.11,80.37,80.78,24214983
16-Apr-15,82.47,83.07,82.15,82.31,13769687
15-Apr-15,83.55,83.66,82.27,82.70,22390943
14-Apr-15,83.17,83.69,82.44,83.52,19634173
13-Apr-15,81.93,83.94,81.92,83.01,26883094
10-Apr-15,82.21,82.61,81.91,82.04,12529738
9-Apr-15,82.50,82.80,81.71,82.17,15927281
8-Apr-15,82.63,83.10,81.84,82.28,18966732
7-Apr-15,82.65,83.42,82.22,82.32,17467042
6-Apr-15,80.80,82.81,80.80,82.44,19062934
2-Apr-15,82.25,82.56,81.44,81.56,19664053
1-Apr-15,82.50,82.72,80.87,81.66,22058167
31-Mar-15,82.90,83.50,82.21,82.22,19734277
30-Mar-15,83.81,84.34,82.41,83.20,24527686
27-Mar-15,83.38,83.95,82.88,83.30,18372582
26-Mar-15,82.72,83.77,82.14,83.01,32794800
25-Mar-15,85.50,85.52,82.92,82.92,37436147
24-Mar-15,84.71,86.07,84.52,85.31,32576522
23-Mar-15,83.92,84.96,83.30,84.43,27357333
20-Mar-15,83.39,84.60,83.07,83.80,44466323
19-Mar-15,81.12,83.00,81.00,82.75,42099523
18-Mar-15,79.25,81.24,79.17,80.91,36912446
17-Mar-15,78.36,79.78,78.34,79.36,22169969
16-Mar-15,77.96,78.12,77.36,78.07,19305406
13-Mar-15,78.60,79.38,77.68,78.05,18557296
12-Mar-15,78.10,79.05,77.91,78.93,16093319
11-Mar-15,77.80,78.43,77.26,77.57,20215704
10-Mar-15,78.50,79.26,77.55,77.55,23067057
9-Mar-15,79.68,79.91,78.63,79.44,18925097
6-Mar-15,80.90,81.33,79.83,80.00,24488581
5-Mar-15,81.23,81.99,81.05,81.21,27825733
4-Mar-15,79.30,81.15,78.85,80.90,28126686
